naics,region,gravity,DAVgrid_from,orderedviofrom,laginv_from,violation_from,DAVgridto,orderedvio_to,laginv_to,violationto,transprob
1,1,1,2,2,1,1,0,0,0,0,0.0509615748089838
1,1,1,2,2,1,1,0,1,0,0,0
1,1,1,2,2,1,1,1,1,0,0,0
1,1,1,2,2,1,1,2,1,0,0,0
1,1,1,2,2,1,1,3,1,0,0,0.00235223721551708
1,1,1,2,2,1,1,4,1,0,0,0.00901767521194267
1,1,1,2,2,1,1,5,1,0,0,0
1,1,1,2,2,1,1,6,1,0,0,0
1,1,1,2,2,1,1,7,1,0,0,0
1,1,1,2,2,1,1,8,1,0,0,0
1,1,1,2,2,1,1,9,1,0,0,0
1,1,1,2,2,1,1,10,1,0,0,0
1,1,1,2,2,1,1,11,1,0,0,0
1,1,1,2,2,1,1,12,1,0,0,0
1,1,1,2,2,1,1,13,1,0,0,0
1,1,1,2,2,1,1,14,1,0,0,0
1,1,1,2,2,1,1,15,1,0,0,0
1,1,1,2,2,1,1,16,1,0,0,0
1,1,1,2,2,1,1,17,1,0,0,0
1,1,1,2,2,1,1,18,1,0,0,0
1,1,1,2,2,1,1,19,1,0,0,0
1,1,1,2,2,1,1,0,1,0,1,0
1,1,1,2,2,1,1,1,1,0,1,0
1,1,1,2,2,1,1,2,1,0,1,0
1,1,1,2,2,1,1,3,1,0,1,9.10831180178225e-05
1,1,1,2,2,1,1,4,1,0,1,0.000447929117094332
1,1,1,2,2,1,1,5,1,0,1,0
1,1,1,2,2,1,1,6,1,0,1,0
1,1,1,2,2,1,1,7,1,0,1,0
1,1,1,2,2,1,1,8,1,0,1,0
1,1,1,2,2,1,1,9,1,0,1,0
1,1,1,2,2,1,1,10,1,0,1,0
1,1,1,2,2,1,1,11,1,0,1,0
1,1,1,2,2,1,1,12,1,0,1,0
1,1,1,2,2,1,1,13,1,0,1,0
1,1,1,2,2,1,1,14,1,0,1,0
1,1,1,2,2,1,1,15,1,0,1,0
1,1,1,2,2,1,1,16,1,0,1,0
1,1,1,2,2,1,1,17,1,0,1,0
1,1,1,2,2,1,1,18,1,0,1,0
1,1,1,2,2,1,1,19,1,0,1,0
1,1,1,2,2,1,1,0,2,0,0,0
1,1,1,2,2,1,1,1,2,0,0,0
1,1,1,2,2,1,1,2,2,0,0,0
1,1,1,2,2,1,1,3,2,0,0,0.131050870585877
1,1,1,2,2,1,1,4,2,0,0,0.501991504800918
1,1,1,2,2,1,1,5,2,0,0,0
1,1,1,2,2,1,1,6,2,0,0,0
1,1,1,2,2,1,1,7,2,0,0,0
1,1,1,2,2,1,1,8,2,0,0,0
1,1,1,2,2,1,1,9,2,0,0,0
1,1,1,2,2,1,1,10,2,0,0,0
1,1,1,2,2,1,1,11,2,0,0,0
1,1,1,2,2,1,1,12,2,0,0,0
1,1,1,2,2,1,1,13,2,0,0,0
1,1,1,2,2,1,1,14,2,0,0,0
1,1,1,2,2,1,1,15,2,0,0,0
1,1,1,2,2,1,1,16,2,0,0,0
1,1,1,2,2,1,1,17,2,0,0,0
1,1,1,2,2,1,1,18,2,0,0,0
1,1,1,2,2,1,1,19,2,0,0,0
1,1,1,2,2,1,1,0,2,0,1,0
1,1,1,2,2,1,1,1,2,0,1,0
1,1,1,2,2,1,1,2,2,0,1,0
1,1,1,2,2,1,1,3,2,0,1,0.0266372173164395
1,1,1,2,2,1,1,4,2,0,1,0.131243889916099
1,1,1,2,2,1,1,5,2,0,1,0
1,1,1,2,2,1,1,6,2,0,1,0
1,1,1,2,2,1,1,7,2,0,1,0
1,1,1,2,2,1,1,8,2,0,1,0
1,1,1,2,2,1,1,9,2,0,1,0
1,1,1,2,2,1,1,10,2,0,1,0
1,1,1,2,2,1,1,11,2,0,1,0
1,1,1,2,2,1,1,12,2,0,1,0
1,1,1,2,2,1,1,13,2,0,1,0
1,1,1,2,2,1,1,14,2,0,1,0
1,1,1,2,2,1,1,15,2,0,1,0
1,1,1,2,2,1,1,16,2,0,1,0
1,1,1,2,2,1,1,17,2,0,1,0
1,1,1,2,2,1,1,18,2,0,1,0
1,1,1,2,2,1,1,19,2,0,1,0
1,1,1,2,2,1,1,0,1,1,0,0
1,1,1,2,2,1,1,1,1,1,0,0
1,1,1,2,2,1,1,2,1,1,0,0
1,1,1,2,2,1,1,3,1,1,0,0.0160276566599517
1,1,1,2,2,1,1,4,1,1,0,0.0670812643191372
1,1,1,2,2,1,1,5,1,1,0,0
1,1,1,2,2,1,1,6,1,1,0,0
1,1,1,2,2,1,1,7,1,1,0,0
1,1,1,2,2,1,1,8,1,1,0,0
1,1,1,2,2,1,1,9,1,1,0,0
1,1,1,2,2,1,1,10,1,1,0,0
1,1,1,2,2,1,1,11,1,1,0,0
1,1,1,2,2,1,1,12,1,1,0,0
1,1,1,2,2,1,1,13,1,1,0,0
1,1,1,2,2,1,1,14,1,1,0,0
1,1,1,2,2,1,1,15,1,1,0,0
1,1,1,2,2,1,1,16,1,1,0,0
1,1,1,2,2,1,1,17,1,1,0,0
1,1,1,2,2,1,1,18,1,1,0,0
1,1,1,2,2,1,1,19,1,1,0,0
1,1,1,2,2,1,1,0,1,1,1,0
1,1,1,2,2,1,1,1,1,1,1,0
1,1,1,2,2,1,1,2,1,1,1,0
1,1,1,2,2,1,1,3,1,1,1,0.00149392645955042
1,1,1,2,2,1,1,4,1,1,1,0.00754924783986059
1,1,1,2,2,1,1,5,1,1,1,0
1,1,1,2,2,1,1,6,1,1,1,0
1,1,1,2,2,1,1,7,1,1,1,0
1,1,1,2,2,1,1,8,1,1,1,0
1,1,1,2,2,1,1,9,1,1,1,0
1,1,1,2,2,1,1,10,1,1,1,0
1,1,1,2,2,1,1,11,1,1,1,0
1,1,1,2,2,1,1,12,1,1,1,0
1,1,1,2,2,1,1,13,1,1,1,0
1,1,1,2,2,1,1,14,1,1,1,0
1,1,1,2,2,1,1,15,1,1,1,0
1,1,1,2,2,1,1,16,1,1,1,0
1,1,1,2,2,1,1,17,1,1,1,0
1,1,1,2,2,1,1,18,1,1,1,0
1,1,1,2,2,1,1,19,1,1,1,0
1,1,1,2,2,1,1,0,2,1,0,0
1,1,1,2,2,1,1,1,2,1,0,0
1,1,1,2,2,1,1,2,2,1,0,0
1,1,1,2,2,1,1,3,2,1,0,0.00667914932346057
1,1,1,2,2,1,1,4,2,1,0,0.0278824732795927
1,1,1,2,2,1,1,5,2,1,0,0
1,1,1,2,2,1,1,6,2,1,0,0
1,1,1,2,2,1,1,7,2,1,0,0
1,1,1,2,2,1,1,8,2,1,0,0
1,1,1,2,2,1,1,9,2,1,0,0
1,1,1,2,2,1,1,10,2,1,0,0
1,1,1,2,2,1,1,11,2,1,0,0
1,1,1,2,2,1,1,12,2,1,0,0
1,1,1,2,2,1,1,13,2,1,0,0
1,1,1,2,2,1,1,14,2,1,0,0
1,1,1,2,2,1,1,15,2,1,0,0
1,1,1,2,2,1,1,16,2,1,0,0
1,1,1,2,2,1,1,17,2,1,0,0
1,1,1,2,2,1,1,18,2,1,0,0
1,1,1,2,2,1,1,19,2,1,0,0
1,1,1,2,2,1,1,0,2,1,1,0
1,1,1,2,2,1,1,1,2,1,1,0
1,1,1,2,2,1,1,2,2,1,1,0
1,1,1,2,2,1,1,3,2,1,1,0.00322976029116575
1,1,1,2,2,1,1,4,2,1,1,0.0162625397363913
1,1,1,2,2,1,1,5,2,1,1,0
1,1,1,2,2,1,1,6,2,1,1,0
1,1,1,2,2,1,1,7,2,1,1,0
1,1,1,2,2,1,1,8,2,1,1,0
1,1,1,2,2,1,1,9,2,1,1,0
1,1,1,2,2,1,1,10,2,1,1,0
1,1,1,2,2,1,1,11,2,1,1,0
1,1,1,2,2,1,1,12,2,1,1,0
1,1,1,2,2,1,1,13,2,1,1,0
1,1,1,2,2,1,1,14,2,1,1,0
1,1,1,2,2,1,1,15,2,1,1,0
1,1,1,2,2,1,1,16,2,1,1,0
1,1,1,2,2,1,1,17,2,1,1,0
1,1,1,2,2,1,1,18,2,1,1,0
1,1,1,2,2,1,1,19,2,1,1,0
